Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,0.750000,0.810000,0.750000,0.770000,0.770000,9000
2023-10-04,0.810000,0.810000,0.770000,0.770000,0.770000,5200
2023-10-05,0.800000,0.800000,0.750000,0.750000,0.750000,10300
2023-10-06,0.780000,0.780000,0.740000,0.780000,0.780000,9700
2023-10-09,0.780000,0.780000,0.740000,0.770000,0.770000,26300
2023-10-10,0.780000,0.780000,0.740000,0.760000,0.760000,14700
2023-10-11,0.770000,0.820000,0.760000,0.760000,0.760000,72700
2023-10-12,0.740000,0.800000,0.740000,0.760000,0.760000,6300
2023-10-13,0.780000,0.800000,0.760000,0.790000,0.790000,14700
2023-10-16,0.820000,0.820000,0.750000,0.750000,0.750000,13200
2023-10-17,0.760000,0.800000,0.750000,0.770000,0.770000,5700
2023-10-18,0.800000,0.800000,0.710000,0.740000,0.740000,46300
2023-10-19,0.710000,0.760000,0.710000,0.740000,0.740000,4200
2023-10-20,0.760000,0.760000,0.720000,0.730000,0.730000,15200
2023-10-23,0.730000,0.740000,0.690000,0.710000,0.710000,4100
2023-10-24,0.700000,0.740000,0.700000,0.700000,0.700000,3400
2023-10-25,0.720000,0.740000,0.710000,0.720000,0.720000,20800
2023-10-26,0.750000,0.750000,0.700000,0.720000,0.720000,19500
2023-10-27,0.720000,0.720000,0.690000,0.690000,0.690000,8500
2023-10-30,0.740000,0.740000,0.700000,0.720000,0.720000,11500
2023-10-31,0.730000,0.730000,0.690000,0.710000,0.710000,15700
2023-11-01,0.710000,0.720000,0.690000,0.690000,0.690000,10400
2023-11-02,0.720000,0.720000,0.690000,0.690000,0.690000,45400
2023-11-03,0.700000,0.720000,0.700000,0.700000,0.700000,7600
2023-11-06,0.720000,0.720000,0.700000,0.700000,0.700000,8500
2023-11-07,0.720000,0.750000,0.700000,0.720000,0.720000,6700
2023-11-08,0.750000,0.750000,0.700000,0.700000,0.700000,4100
2023-11-09,0.710000,0.740000,0.700000,0.700000,0.700000,11300
2023-11-10,0.720000,0.750000,0.700000,0.720000,0.720000,29600
2023-11-13,0.750000,0.750000,0.700000,0.730000,0.730000,7800
2023-11-14,0.740000,0.820000,0.730000,0.780000,0.780000,40800
2023-11-15,0.780000,0.810000,0.740000,0.780000,0.780000,8900
2023-11-16,0.750000,0.780000,0.750000,0.770000,0.770000,8600
2023-11-17,0.750000,0.770000,0.700000,0.710000,0.710000,20000
2023-11-20,0.790000,0.790000,0.720000,0.750000,0.750000,8000
2023-11-21,0.740000,0.750000,0.700000,0.730000,0.730000,24400
2023-11-22,0.790000,0.790000,0.710000,0.720000,0.720000,10600
2023-11-24,0.720000,0.780000,0.720000,0.750000,0.750000,13500
2023-11-27,0.760000,0.780000,0.750000,0.750000,0.750000,13600
2023-11-28,0.730000,0.790000,0.730000,0.780000,0.780000,5500
2023-11-29,0.750000,0.780000,0.710000,0.720000,0.720000,12900
2023-11-30,0.730000,0.750000,0.710000,0.710000,0.710000,2900
2023-12-01,0.790000,0.790000,0.710000,0.790000,0.790000,60000
2023-12-04,0.790000,0.790000,0.770000,0.790000,0.790000,60000
2023-12-05,0.780000,0.790000,0.770000,0.780000,0.780000,15500
2023-12-06,0.780000,0.780000,0.740000,0.770000,0.770000,8300
2023-12-07,0.720000,0.770000,0.720000,0.750000,0.750000,26300
2023-12-08,0.760000,0.770000,0.720000,0.740000,0.740000,32100
2023-12-11,0.720000,0.760000,0.720000,0.720000,0.720000,16400
2023-12-12,0.730000,0.730000,0.720000,0.720000,0.720000,22300
2023-12-13,0.720000,0.730000,0.720000,0.720000,0.720000,24700
2023-12-14,0.730000,0.750000,0.720000,0.740000,0.740000,17400
2023-12-15,0.730000,0.740000,0.720000,0.720000,0.720000,22400
2023-12-18,0.720000,0.730000,0.710000,0.720000,0.720000,68100
2023-12-19,0.710000,0.730000,0.700000,0.700000,0.700000,41600
2023-12-20,0.700000,0.700000,0.590000,0.630000,0.630000,200800
2023-12-21,0.690000,0.740000,0.690000,0.720000,0.720000,125200
2023-12-22,0.770000,0.770000,0.720000,0.760000,0.760000,42000
2023-12-26,0.680000,0.760000,0.680000,0.720000,0.720000,70500
2023-12-27,0.710000,0.730000,0.710000,0.720000,0.720000,27900
2023-12-28,0.710000,0.740000,0.690000,0.700000,0.700000,59900
2023-12-29,0.700000,0.740000,0.700000,0.730000,0.730000,45100
